Price,Area,Address,Number of bedrooms,Number of bathrooms,Number of floors,Amenities,Street name,Ward name,District name,Number of frontages,Alley or main road,Listing ID
1.950 tỷ,4x12 (48m2),230 Phú Định phường 16 quận 8,2,2,1 trệt 1 lầu,"spa làm mì, mày Min, hàng quần áo Táo, cửa hàng thức yếu Baga Shop, trường mần non Ánh Dương, chợ, các dịch vụ tiện ích xung quanh như các của hàng thời trang, các dịch vụ chăm sóc sức khỏe và làm đẹp",Phú Định,phường 16,quận 8,Not specified,nhà trong hẻm,256995
1.550 tỷ,48m2,"269 Phú Định, phường 16, quận 8",2,2,1 trệt 1 lầu,"cửa hàng quần áo Mia Store, quá Café đồ gia dụng Dung Minh Nhật, Trạm Y Tế phường 15 quận 8, trường mầm non Ánh Dương, trường Tiểu học Lưu Hữu Phước, chợ, bách hóa xanh, các của hàng buôn bán thời trang, dịch vụ chăm sóc sức khỏe và làm đẹp",Phú Định,phường 16,quận 8,1,nhà trong hẻm,256994
1.750 tỷ,48m2,"361 Bến Bình Đông phường 15, quận 8",2,2,1 trệt 1 lầu,"Gần với trường THPT Ngô Gia Tự, gần với phòng khám tư nhân, gần với cửa hàng thức ăn nhanh HT Food and Drink, nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất, các dịch vụ tiện ích xung quanh như cửa hàng tiện lợi, gần bách hóa xanh, các cửa hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Bến Bình Đông,phường 15,quận 8,not specified,nhà trong hẻm,256993
Not specified in the text,77 m2,"Nhà HXH, Nam Hòa, PhướcLong A",Not specified in the text,Not specified in the text,Not specified in the text,"Mới xây, Nội Thất Đẹp, Ở NGAY, Giao thông thuận tiện, Gần CĐ CÔNG THƯƠNG, Kinh tế đối ngoại, THCS, TH Phước Long A",Not specified in the text,PhướcLong A,Not specified in the text,Not specified in the text,NỞ HẬU,256957
1.950 tỷ,4x12 (48m2),"19 Lý Đạo Thành phường 14, quận 8",2,2,1 trệt 1 lầu,"gần với trường mần non Thiên Thần Nhỏ, gần với nhà thuốc Phương Yên, gần với cửa hàng vật liệu nha khoa An Phú, nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất có các dịch vụ tiện ích xung quanh như của hàng tện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Lý Đạo Thành,phường 14,quận 8,not specified,nhà trong hẻm,256944
1.850 tỷ,48m2,"Mặt tiền đường Nguyễn Ngọc Cung, phường 14, quận 8",2,2,1 trệt 1 lầu,"Gần với đường Lý Đạo Thành, cách mặt tiền đường Phú Định tầm 300m, di chuyển ra đường Võ Văn Kiệt tầm 10p đi xe máy, Gần với cửa hàng gạo Long Trọng, gần với cà phê Bích Trâm, Nằm gần chợ, kinh doanh buôn bán sầm uất, các dịch vụ tiện ích xung quanh như của hàng tện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp, Khu vực xung quanh cao ráo không lo ngập lụt trong mùa mưa, an ninh dân trí cao",Nguyễn Ngọc Cung,Phường 14,Quận 8,1,Ngoài lộ,256943
1.650 tỷ,4x12 (48m2),"124 Mễ Cốc phường 15, quận 8",2,2,1 trệt 1 lầu,"gần với trung tâm ngoại ngữ tiếng anh English for life, gần với cửa hàng cá Xanh Tươi Tropical, hẻm thông với các hẻm 127 Mễ Cốc, 129 Mễ Cốc, nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất, có các dịch vụ tiện ích xung quanh như của hàng tện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Mễ Cốc,phường 15,quận 8,1,nhà trong hẻm,256940
1.550 tỷ,48m2,"đường Hoàng Ngân phường 16, quận 8",2,2,1 trệt 1 lầu,"gần chợ, xung quanh kinh doanh buôn bán sầm uất, các dịch vụ tiện ích xung quanh như của hàng tiện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Hoàng Ngân,phường 16,quận 8,1,ngoài lộ,256939
7 tỷ VND,5.5M,"87 Đinh Tiên Hoàng, phường 3, quận Bình Thạnh",2,2,"1 trệt, lửng","Khu vực dân trí cao, an ninh, gần ĐH Mỹ Thuật, Hutech, Hồng Bàng, Xe hơi đậu trước cửa ngày đêm, thông Yên Đỗ, Vũ Tùng",Đinh Tiên Hoàng,phường 3,quận Bình Thạnh,Not mentioned,Nhà trong hẻm,256938
3 tỷ VND,42m2,Hậu,Not mentioned,Not mentioned,2,"Hẻm rộng, sạch đẹp, Xe hơi đỗ sát nhà, Sổ đẹp, vuông vức",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Nhà trong hẻm,256937
"8,8 tỷ VND","5,9x19","Đinh Tiên Hoàng, Bình Thạnh",5,5,4,"nhà đẹp, kiên cố, nở hậu, tài lộc, bếp siêu rộng, sân thượng",Đinh Tiên Hoàng,Not mentioned,Bình Thạnh,Not mentioned,Not mentioned,256936
"3,45 tỷ VND",47m2,"Dương Đình Hội, Phườc Long B, Quận 9",1,1,1,"Gần cao đẳng Công Thương, CĐ Kỹ Nghệ, CĐ Kinh Tế đối Ngoại, Trường tiểu học",Đỗ Xuân Hợp,Phườc Long B,Quận 9,"4,5 m",Nhà trong hẻm,256935
"9,5 tỷ VND",Not mentioned in the text,"Nguyễn Giản Thanh, Phường 15 Quận 10",Not mentioned in the text,Not mentioned in the text,4 Tầng,"Sổ vuông, 4 TẦNG BTCT mái BTCT, thiết kế cầu thang cuối",Nguyễn Giản Thanh,Phường 15,Quận 10,Not mentioned in the text,Not mentioned in the text,256931
8.3 tỷ,100m2 (4x25m),"Hẻm 8m, đường Lê Đức Thọ",3,3,3,"Gần Bệnh Viện, trường học các cấp, gần chợ, siêu thị, khu phân lô, hẻm ô tô thẳng 1 trục rộng 8M, ô tô dễ dàng né nhau",Lê Đức Thọ,Not specified,Not specified,Not specified,Nhà trong hẻm,256930
1 tỷ 150 triệu VND,4.5x20 SHR,"gần chợ Hưng Long, Tân Quý Tây, Bình Chánh",3 PN,2WC,1 trệt 1 lầu,"gần chợ, Bách Hóa Xanh, Điện Máy Xanh, Thế giới Di Động, cây xăng, trường học, Ủy Ban",Not specified,Tân Quý Tây,Bình Chánh,Not specified,Nhà có đường vào ô tô đậu trong nhà,256956
10 tỷ VND,65m2,"Lê Văn Sỹ, Quận 3",6,Not specified,4 (1 trệt 3 lầu),"Trường Sa tập thể dục, mua sắm ăn uống, khu dân trí cao, 5 phút tới sân bay, 7 phút tới Quận 1",Lê Văn Sỹ,Phường 12,Quận 3,Not specified,Hẻm xe hơi,256929
"6,9 tỷ VND",Hẻm 8m 4x13,"Phạm Huy Thông, Gò Vấp",4,3,3,"Trệt 2 lầu, khu bàn cờ, thông tứ tung, khu dân trí cao, đắc địa, an ninh, mát mẻ, Cityland",Phạm Huy Thông,Gò Vấp,P7,Not specified,Hẻm,256955
"12,6 tỷ VND",82m2,"Đinh Tiên Hoàng, phường 1 Quận Bình Thạnh",3,Not specified,2,"Nhà cũ tiện xây mới, sổ hồng riêng pháp lý chuẩn, khu vực mặt tiền đường kinh doanh sầm uất, khu trung tâm sát Q1",Đinh Tiên Hoàng,phường 1,Quận Bình Thạnh,Not specified,Ngoài lộ,256953
"8,3 tỷ VND",75m2,"Lê Văn Sỹ, Phường 13, Quận 3",3,3,2,"Khu dân trí cao, văn minh, an ninh, yên tĩnh, hàng xóm thân thiện, nhà cao tầng",Lê Văn Sỹ,Phường 13,Quận 3,30m,Hẻm xe hơi 6M,256951
7.2 tỷ VND,109.7m2,"Lê Văn Sỹ, cách mặt tiền 20m",4,4,4,"Nội thất cao cấp, máy lạnh lắp sẳn từng phòng ngủ, sân xe máy rộng, sân thượng trước sau rộng",Lê Văn Sỹ,Not mentioned,"Giáp quận 3, Tân Bình",Not mentioned,Ngoài lộ,256948
"8,5 tỷ VND",110 m2,"Đại lộ 3, Phước Bình, Thủ Đức",Not mentioned,Not mentioned,3,"Nội thất gỗ cao cấp, hẻm xe tải, thông thoáng, sạch sẽ",Đại lộ 3,Phước Bình,Thủ Đức,Not mentioned,Nhà trong hẻm,256947
3 tỷ 350,Not specified in the text,Nhà xe hơi thông - Huỳnh Thị Hai - Tân Chánh Hiệp - Quận 12,Not specified in the text,Not specified in the text,Not specified in the text,"Gần trường ĐH Giao Thông Vận Tải, Xung quanh đủ trường học các cấp, trung tâm Anh Ngữ, chợ , siêu thị ...",Huỳnh Thị Hai,Tân Chánh Hiệp,Quận 12,Not specified in the text,Nhà hẻm 6 mét,256946
9.5 tỷ VND,8 x 25m,"Hóc Môn, Mặt tiền đường chính Đông Thạnh 4, góc ngã tư Trịnh Thị Dối và Đông Thạnh 4, giáp ranh Lê Văn Khương quận 12",Not specified,Not specified,Not specified,"Phù hợp và tiện cho khách mua xây mới căn Biệt thự vườn, hoặc nhà xưởng, Kho, Văn phòng công ty",Đông Thạnh 4,Not specified,Quận 12,Not specified,Ngoài lộ,256945
"8,5 tỷ VND",110 m2,"Đại lộ 3, Phước Bình, Thủ Đức",Not specified,Not specified,3,"Nội thất gỗ cao cấp, Hẻm xe tải, thông thoáng, sạch sẽ, Sổ Hồng Chính Chủ, công chứng ngay",Đại lộ 3,Phước Bình,Thủ Đức,Not specified,Hẻm xe tải,256928
4 tỷ 9,52m2,"NỞ HẬU, PHƯỚC BÌNH , THỦ ĐỨC",2,2,2,"phòng khách, bếp, ban công, nội thất đẹp, hẻm rộng rãi, sạch sẽ, khu yên tĩnh dân trí cao, giao thông thuận tiện, tiện ích đầy đủ, gần UBND Phước Bình, chợ, gần mầm non, tiểu học, THCS Phước Bình, CĐ Kỹ Nghệ, CĐ Kinh Tế Đối ngoại, ĐH Văn Hóa",Not provided in the text,Phước Bình,Thủ Đức,Not provided in the text,NỞ HẬU,256910
4 tỷ 900 triệu,52m2,"gần chợ 26 tháng 3, Bình Tân",2,1,3,"tuyến đường kinh doanh nhộn nhịp, đa ngành, tiện ích không thiếu gì, gần Hương Lộ 3, Kênh Nước Đen, Tân Kỳ Tân Quý, Bờ Bao Tân Thắng, Kênh 19/5 di chuyển Tân Phú, Tân Bình, quận 6",chợ 26 tháng 3,not mentioned,Bình Tân,not mentioned,hẻm xe tải thông,256906
9.2 tỷ,3.3m x 13m,"Hẻm xe hơi đường 3/2, Quận 10",Not mentioned,Not mentioned,5,"gần chợ, trường học, bệnh viện, ngân hàng",Đường 3/2,Not mentioned,Quận 10,3.3m,Hẻm,256905
3 tỷ đồng,"35,60m2","21/4/16 đường số 14, khu phố 12, phường Bình Hưng Hòa A, quận Bình Tân, Thành phố Hồ Chí Minh",Not specified,Not specified,1,Not specified,đường số 14,Bình Hưng Hòa A,Bình Tân,Not specified,Not specified,256896
4.6 tỷ VND,Not specified,Near ACB Phan Huy Ich bank,2,3,2 (1 trệt 1 lầu),"Near market, school, supermarket, Bách Hóa Xanh, ACB bank",Not specified,Not specified,Not specified,30m,"Hẻm an ninh, yên tĩnh",256893
10.2 tỷ VND,gần 55m2,"Trần Quang Diệu, Phường 14, Quận 3",4,5,"3 (Trệt, 2 lầu, sân thượng)","Hẻm ô tô đua, thông Lê Văn Sỹ và Nguyễn Văn Trỗi, không bao giờ bị ngập, khu vực dân trí cao, hàng xóm giàu có, con đường nhiều cây xanh nhất",Trần Quang Diệu,Phường 14,Quận 3,6M,Hẻm,256892
12 tỷ VND,210M2,hẻm 496 Dương Quảng Hàm,Not mentioned,Not mentioned,Not mentioned,"Vị trí đẹp, khu ĐH Văn Lang, sát vách Bình Thạnh, vào sân bay 10p, Khu dân trí cao, văn minh, an ninh, Pháp lý sạch, chuẩn",Dương Quảng Hàm,Not mentioned,Not mentioned,8.5M,Hẻm,256891
8.3 tỷ VND,100m2,"đường Lê Đức Thọ, Hẻm 8m",3,3,3,"gần Bệnh Viện, trường học các cấp, gần chợ, siêu thị, khu phân lô, hẻm ô tô thẳng 1 trục rộng 8M",Lê Đức Thọ,Not mentioned,Not mentioned,4m,Nhà trong hẻm,256890
"7,1 tỷ VND",Hẻm 8m 4x13,"Lê Đức Thọ, Gò Vấp",4,2,3,"Trệt 2 lầu, khu bàn cờ, thông tứ tung, an ninh, mát mẻ, Cityland",Lê Đức Thọ,P7,Gò Vấp,4,Hẻm,256889
2.395 tỷ VND,74.6m2 (6m x 6m),"Hoàng Hoa Thám, P.5, Phú Nhuận, Sài Gòn",3,3,3 (1 trệt 2 lầu + sân thượng),"Sân chung để xe, gần sân bay",Hoàng Hoa Thám,Phường 5,Phú Nhuận,Not specified,Nhà trong hẻm,256888
6 tỷ hơn 400 triệu,5x16,"Lê Quang Định, Phường 11, Bình Thạnh",5,4,"3 (1 trệt, 2 lầu, sân thượng)","ban công, khách, bếp, sân để xe chục chiếc",Lê Quang Định,Phường 11,Bình Thạnh,Not mentioned,Nhà trong hẻm,256927
16.5 tỷ VND,"4m x 20m, DTCN: 76m²","MT SIÊU KINH DOANH LẠC LONG QUÂN - ÂU CƠ, QUẬN 11",Not specified,Not specified,4 tầng,"Gần chợ, trường học, bệnh viện, ngân hàng, và nhiều tiện ích khác",Lạc Long Quân - Âu Cơ,Not specified,Quận 11,4m,Ngoài lộ,256887
5.5 tỷ VND,45m2,Hẻm xe hơi 1 trục - Khu an ninh yên tĩnh - Tân Bình,5,6,3,"Nhà mới xây 1 năm, hoàn công đủ",Not mentioned,Not mentioned,Tân Bình,Not mentioned,Hẻm,256925
9.5 tỷ VND,60m2 (4.5m x 13.5m),"Huỳnh Mẫn Đạt, Phường 2, Quận 5",4 phòng ngủ,Not mentioned,3 tầng,"Sổ hoàn công đầy đủ, công chứng ngay khi khách thích",Huỳnh Mẫn Đạt,Phường 2,Quận 5,Not mentioned,"Nằm ngay trung tâm sầm uất Quận 5, gần ngã tư Nguyễn Trãi giao Lê Hồng Phong, sát bên Quận 1",256924
6 tỷ hơn 400 triệu,5x16,"Hẻm Lê Quang Định, Phường 11, Quận Bình Thạnh",5,4,2,"ban công, khách, bếp, sân để xe chục chiếc",Lê Quang Định,Phường 11,Quận Bình Thạnh,5M,Nhà trong hẻm,256920
10 tỷ VND,Not specified in the text,"An Dương Vương, Phường 4 Quận 5",4,Not specified in the text,4,"Gần trường ĐH Sư Phạm, ĐH Sài Gòn, trung tâm Quận 5, dễ dàng di chuyển vào trung tâm, Khu dân trí cao, dễ làm ăn buôn bán",An Dương Vương,Phường 4,Quận 5,2,Nhà trong hẻm,256919
1.55 tỷ,38.5m2 (3.5x11),"hẻm đường Phạm Hữu Lầu, phường Phú Mỹ, Quận 7",2,2,"1 Trệt, 1 lầu","gần trung tâm dạy nghề, ngân hàng, các cửa hàng tiện lợi",Phạm Hữu Lầu,Phú Mỹ,Quận 7,Not mentioned,hẻm,256918
10.5 tỷ,"75m2, 5x15m","Đường Trục( Đặng Thuỳ Trâm, phường 13 Bình thạnh",6,8,5,"phòng thờ, phòng giăt phơi + sân thượng",Đường Trục,phường 13,Bình thạnh,Not mentioned,Ngoài lộ,256917
10.8 tỷ VND,"68m2, 4m x 17m","đường Nguyễn Văn Lượng, Phường 16, Gò Vấp",Not mentioned,Not mentioned,5,"Tiện ích bao la, Hẻm xe tải thông, khu vực kinh doanh sầm uất, Phù hợp làm văn phòng kinh doanh, cửa hàng, gần Lottemart, Sân TDTT Gò Vấp",Nguyễn Văn Lượng,Phường 16,Gò Vấp,Not mentioned,Nhà trong hẻm,256916
Not mentioned in the text,65m2 (4.5 x 15),"Quang Trung, Phường 11, Gò Vấp",4,6,5,"Phòng khách rộng, thang, lửng làm bếp và phòng ăn, thiết kế lại thêm một PN nữa",Quang Trung,Phường 11,Gò Vấp,Not mentioned in the text,Hẻm xe hơi,256886
6 tỷ 800 triệu VND,74m2,"Hẻm 42 Hoàng Hoa Thám, Bình Thạnh",4,3,2,"chợ bà chiểu, Yên Đỗ, cây quéo, ĐH Mỹ Thuật , BV Gia Định, quận 1, Phú Nhuận",Hoàng Hoa Thám,Bình Thạnh,Bình Thạnh,Not mentioned,Hẻm,256853
"7,5 tỷ VND","4x20 (not a standard area measurement, but it's the only area information available)","Gò Vấp, Ngay Đối Diện Chợ Hạnh Thông Tây",5,6,4,"Ngay đối diện chợ Hạnh Thông Tây, bệnh viện Gò Vấp, siêu thị ,tgdd, vus...",Quang Trung,Not specified,Gò Vấp,Not specified,Hẻm,256851
3.1 tỷ VND,75m2,"Bình Tân, cạnh hẻm xe tải, thông tứ phía ra Hương Lộ 2, Bình Trị Đông, Mã Lò",3,Not mentioned,3,"Lô góc cực thoáng, hẻm xe hơi, ban công thoáng mát",Hương Lộ 2,Bình Trị Đông,Bình Tân,Not mentioned,Nhà trong hẻm,256849
4 tỉ 9 (4.9 billion VND),50.4m2,"Tp Thủ Đức, Đường Lò Lu, Phường Trường Thạnh",3,3,2,"Tiện nghỉ, Chợ Lò Lu, Công viên Tăng Đăng Long 2",Lò Lu,Trường Thạnh,Thủ Đức,Not mentioned,Not mentioned,256847
3.4 tỷ,110m2,"Cách HXT 50m, Bình Tân",3,3,3,Nội thất,Not mentioned,Not mentioned,Bình Tân,Not mentioned,Nhà trong hẻm,256844
bốn tỉ chín,"50,4 m2","đường Lò Lu, Phường Trường Thạnh, tp. THỦ ĐỨC",3,3,1 trệt 2 lầu,nội thất đầy đủ tiện nghi,Lò Lu,Trường Thạnh,Thủ Đức,Not mentioned,Not mentioned,256837
3 tỷ VND,40 m2 (4m x 10m),"Hẻm Trước, Liên Khu 4-5, Đường số 4, BHHoà B",2,2,2,"Ô tô đậu cả ngày, Sát bên Chợ Bình Thành, Trường học Kim Đồng, Sổ vuông vức, Pháp lý sạch",Đường số 4,BHHoà B,Liên Khu 4-5,2,Nhà trong hẻm,256833
1.7 tỷ,38.5m2 (3.5x11),"hẻm 166 đường Lưu Hữu Phước, phường 15, quận 8",2,2,Not mentioned,"UBND phường, trường mầm non, công an phường, tạp hóa,...",Lưu Hữu Phước,phường 15,quận 8,Not mentioned,hẻm,256832
3.2 tỷ VND,80m2 (40m2 ngang 3.5m dài 11.5m),"Bình Tân, Hồ Chí Minh City (xung quanh Tân Hoà Đông)",3,Not specified,2,"Gần chợ, Trường học, Trung tâm Anh Ngữ",Not specified,Not specified,Bình Tân,Not specified,Nhà trong hẻm,256824
8.8 tỷ VND,62.3m² (4m x 16m),"Quận 11, Tp. HCM",4,3,4,"Gần chợ Bình Thới, trường học, ngân hàng,...","Bình Thới, Minh Phụng, Hàn Hải Nguyên",Not specified,Quận 11,Not specified,Hẻm,256822
1.8 tỷ VND,44.8m2,"49 Hẻm Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7",2,2,2,"Sổ hồng riêng, khu vực an ninh tốt, dân trí cao",Phạm Hữu Lầu,Phú Mỹ,Quận 7,Not specified,Hẻm,256884
22.5 tỷ,"88m2, 5 tầng, 7x12.5",Nguyễn Xí Phường 26 Bình Thạnh,4,6,5,"PK, Bếp, Gara ôtô, phòng chơi nhạc, phòng chưng bày, 2 phòng xông hơi (nóng & khô )",Nguyễn Xí,Phường 26,Bình Thạnh,7,Nhà trong hẻm hay ngoài lộ,256821
3.2 tỷ,80m2 (40m2 ngang 3.5m dài 11.5m),"Vị trí đẹp, hẻm xe hơi rộng rãi, thông sang Tân Hoà Đông",3,Not specified,2,"Gần chợ, Trường học, Trung tâm Anh Ngữ",Not specified,Not specified,Bình Tân,Not specified,In an alley,256883
14 tỷ,4m x 14m (vuông vức) - Công nhận: 56m²,Gần mặt tiền trung tâm 30m. Cách Quận 10 100m,5,4,5,"phòng khách, thờ, bếp, siêu thị Big C, trường cấp 1.2.3",Lê Đại Hành,Phường 15,Quận 11,4m,Gần mặt tiền trung tâm 30m,256882
6.6 tỷ VND (negotiable),5m x 8.2m,"Nhà mới HXH 5 tầng BTCT đường Lê Quang Định, Bình Thạnh",3 phòng ngủ,4 WC,5 tầng,"phòng thờ, phòng khách, phòng bếp, sân thượng, thiết kế hiện đại, hẻm lớn, sổ vuông A4, pháp lý sạch",Lê Quang Định,Bình Thạnh,Bình Thạnh,Not specified,Hẻm,256880
500 triệu,3m x 5m,"Nhà hẻm 184 Nguyễn xí, Phường 26, Bình Thạnh",Not specified,Not specified,1 lầu,"gần trường học, gần chợ, siêu thị, mọi tiện ích xung quanh đầy đủ",Nguyễn xí,Phường 26,Bình Thạnh,Not specified,Nhà trong hẻm,256878
12 tỷ VND,220m2,"496 Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TP. Hồ Chí Minh",Not specified,Not specified,Not specified,"Hẻm thông tứ tung, Pháp lý sạch, công chứng ngay",Dương Quảng Hàm,Phường 5,Quận Gò Vấp,8m,Hẻm,256873
13.6 tỷ,4.2m x 18m,"Lý Thường Kiệt, Lạc Long Quân, Tp. HCM",Not mentioned,Not mentioned,5,"Near market, school, hospital, bank, and other amenities",Lý Thường Kiệt,Not mentioned,Not mentioned,Not mentioned,Not mentioned,256857
4 tỷ,50m2,Bình Tân,Not mentioned,Not mentioned,Not mentioned,"Hẻm xe hơi đỗ cửa, Dòng tiền cho thuê hằng tháng",Not mentioned,Not mentioned,Bình Tân,Not mentioned,Nhà trong hẻm,256856
10.5 tỷ,"4.2m x 11m, DTCN: 45m²","NHÀ GÓC 2 MT 394/18 MINH PHỤNG – HÀN HẢI NGUYÊN, Quận 11, Tp. HCM",Not specified,Not specified,6,"gần chợ, trường học, bệnh viện, ngân hàng, và nhiều tiện ích khác",Minh Phụng,Bình Thới,Quận 11,2,Nhà ngay trung tâm thương mại Quận 11,256818
